video_id,title,description,published_at,channel_id,channel_title,category_id,tags,duration,definition,caption,view_count,like_count,dislike_count,favorite_count,comment_count,category_name
RKZJtoFoaQg,"KHEL KHEL MEIN (Official Trailer): Akshay Kumar,Vaani,Ammy,Taapsee,Fardeen,Aditya,Pragya | Bhushan K","This Independence Day, Get Ready To Witness The Ultimate Entertainment of the Year. Presenting ""KHEL KHEL MEIN (Official Trailer)"", Starring Akshay Kumar, Ammy Virk, Taapsee Pannu, Vani Kapoor, Fardeen Khan, Aditya Seal & Pragya Jaiswal. Directed by Mudassar Aziz.

Gulshan Kumar, T-Series & Wakaoo Films Present
A T-Series Films, Wakaoo Films & KKM Film Ltd. Production

#KhelKhelMein Coming on 15th August😍 2024. In Cinemas Near You!

#AkshayKumar #GuruRandhawa #AmmyVirk #TaapseePannu #VaaniKapoor #FardeenKhan #AdityaSeal 

Get Your Movie Vouchers😍 For #KhelKhelMein ▶ https://bookmy.show/KKMVoucher 

Film Credits:
Directed by - Mudassar Aziz
Produced by - Bhushan Kumar, Krishan Kumar
Produced by - Vipul D Shah, Ashwin Varde, Rajesh Bahl 
Produced by - Shashikant Sinha 
Produced by - Firuzi Khan
Co-Producer - Shiv Chanana
President (T-Series) - Neeraj Kalyan
Story & Dialogues - Mudassar Aziz
Screenplay - Mudassar Aziz, Sara Bodinar
Dop - Manoj Kumar Khatoi
Production Designer - Rupin Suchak
Editor - Ninad Khanolkar
Costume Designer - Sanam Ratansi 
Original Background Score - John Stewart Eduri 
Sound Designer - Arun Nambiar
Re-Recording Mixer - Ajaykumar P. B.
Music - Tanishk Bagchi, B Praak, Saji Ali, Rochak Kohli, Guru Randhawa, Raj Ranjodh, Intense, Jassi Sidhu 
Lyrics - Kumaar, Jaani, Khadim Hussain, Guru Randhawa, Raj Ranjodh, Jassi Sidhu, Rahul Gill
Choreographer - Raju Khan, Piyush Shazia 
Di - Prime Focus Ltd. 
Vfx Supervisor - Poya Shouhani, K v Sanjit 
Vfx - Identical Brains Studios
Post Production - Postmaninc
Supervising Producer - Mohammad S. Hyderabadwala
Executive Producer - Chander Bir Singh 
Project Head (wakaoo Films) - Barkha Thakur
Consulting Producer - Jayaa Prasad Sharrma 
Project Head (T-Series) - Alok Kumar Shukla 
Film & Content Team (T-Series) Heett Savla, Shraddha Shrikant Ghanekar, Meghha Chheda 
Marketing & Promotions (T-Series) - Shivam Chanana, Raj Chanana, Prashant Shetty, Mita Choudhary, Rahul Dubey, Amol Bhamare, Heett Savla
Digital Team (T-Series) - Varun Arora, Juhi Singh, Praveen Sharma, Ratika Anand, Mohit Malik T-Series
Music on - T-Series 
Music Team (T-Series) Raj Chanana, Shivam Chanana, Sonal Chawla, Sonu Srivastava, Vivin Sachdeva
Pr Agency - Communique Film Pr 
Digital Marketing - Everymedia 
Publicity Design - (ma+th)2 
Visual Promotion - Just Right Studioz Nx

Download Song Beat: https://bit.ly/3Cjh24R 

___________________________________
Enjoy & stay connected with us!
👉 Subscribe to T-Series: https://youtube.com/tseries
👉 Like us on Facebook: https://www.facebook.com/tseriesmusic
👉 Follow us on X: https://twitter.com/tseries
👉 Follow us on Instagram: https://instagram.com/tseries.official",2024-08-02T06:30:08Z,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,10,"['bollywood songs 2024', 'bollywood movies 2024', 'tseries', 'tseries songs', 'khel khel mein', 'khel khel mein official trailer', 'khel khel mein trailer', 'khel khel mein trailer full', 'khel khel mein full trailer', 'khel khel mein trailer akshay kumar', 'akshay kumar khel khel mein trailer', 'akshay kumar khel khel mein trailer full', 'akshay kumar new movie', 'khel khel mein movie', 'khel khel mein full trailer video', 'khel khel movie full trailer', 'khel khel full movie', 'khel khel mein trailer official']",PT3M10S,hd,true,17611644,248734,0,0,18566,Music
G_-UYcf1v4M,F*CK WHAT THEY SAY | King & @MCSTANOFFICIAL666 | Monopoly Moves | Official Music Video,"""F*CK WHAT THEY SAY"" marks King and MC Stan's debut collaboration which arrives as a part of the New Delhi-based artist's latest album ""Monopoly Moves''. A braggadocious track where both of them rap about their luxurious lifestyles, success and swagger, it takes a heavier turn in the second half which sees producer Riz Shain turn things upside down with his bold experimentation of pulsating rhythms as King and MC Stan showcase their aggressive and gritty performance which bumps up the chaotic energy of the song to hit the roof.

STREAM NOW : https://out-now.lnk.to/MonopolyMoves

Song Name : F*CK WHAT THEY SAY
Artist : King, MC Stan
Lyrics : King, MC Stan
Music Producer : Riz Shain
Composed by : King, MC Stan
Mixed by : Hanish Taneja
Mastered by : Hanish Taneja

Video Credits: 

Director : Lendrick Kumar
DOP : Aswin Sumesh
Chief Associate Director : Ankur Bhatnaagar
Director Assistant : Deepika Menon
Associate Camera : Akhil Sasidharan
Editor & VFX : Anush SK
3D Artist : FL3VI
Colourist : Eldho M Reji
Set Designer : Neha Pednekar
Art Director: Ashok Biswas
Art Assistant : Ejaz Khan

Focus Puller : Ashish Vishwakarma
Gaffer : Sunny Singh
Lights  Light n Light
Camera : RD Equipment
Rigging: Galaxy Equipment
Panther Dolly: Cine Grips

HMUA : Dinesh Dhake
Stylist : Khushboo Gupta
Dressmam: Santosh Yadav

Production House : Simran Bakshi Films
Producer : Simran Bakshi
Executive Producer : Simran Bakshi & Prathmesh Dabir
Line Producer : Manish Raut
Associate Producer : Ankit Nayar & Zerab Aderianwalla
Line Producer : AnAkproductions
Assistant Producer : Smriti Ramakrishnan 

BTS & Stills : Mihir Shah
Stills Photographer: Jogi Singh
DIT: Nikhil Jadhav

King’s Hair Stylist  : Javed
King’s Makeup Artist : Swapnil 
​Wardrobe Styling : Nikita Jaisinghani

Executive Producer : Bhavya Anand & Sweta Ojha
Creative Producer : Bhavya Anand & Rajrishi Murthi
Production Head : Chiranshu Thakur

MC Stan's Management : Represent

Follow KING :
SPOTIFY : https://open.spotify.com/artist/5NHm4TU5Twz7owibYxJfFU
APPLE MUSIC : https://music.apple.com/il/artist/king/1489995981
INSTAGRAM : https://www.instagram.com/ifeelking/ 
FACEBOOK : https://www.facebook.com/ifeelking 
TWITTER : https://twitter.com/ifeelkingOG 
SNAPCHAT : https://www.snapchat.com/add/ifeelkingxo 
BLANKO : https://www.instagram.com/ifeelblanko/

Follow MC Stan :
SPOTIFY : https://open.spotify.com/artist/5uemEEtB1ZC3s1KM7gReeH?si=_0846yRHQ5OozWLNdsEdAQ
APPLE MUSIC : https://music.apple.com/in/artist/mc-stan/1530205305
INSTAGRAM : https://www.instagram.com/m___c___stan/",2024-08-02T06:30:08Z,UCrtOnzd9dWH9lXTAB-64Hfg,King,10,"['King', 'MC Stan', 'F*CK WHAT THEY SAY', 'Monopoly Moves', 'MM', 'Hip-Hop', 'Rap', 'Big Boss', 'Bollywood', 'DHH', 'IHH', 'Tadipaar', 'Basti Ka Hasti', 'Ek Din Pyaar', 'Maan Meri Jaan', 'Tu Aake Dekhle', 'Latest Rap Songs', 'Tasha', 'Nashik Dhol', 'Pune', 'Mumbai', 'Maharashtra', 'Za*un Taak Mitra Mandal']",PT5M,hd,false,1482433,181389,0,0,14899,Music
nFgsBxw-zWQ,"Aayi Nai -Stree 2 | Shraddha Kapoor | Rajkummar Rao | Sachin-Jigar |Pawan Singh,Simran,Divya,Amitabh","Catch Shraddha Kapoor and Rajkummar Rao in their most playful avatars, grooving to this catchy hit! 🎶 With vocals by Pawan Singh, Simran Choudhary, Divya Kumar, and Sachin-Jigar, and beats composed by Sachin-Jigar, this song is a non-stop party starter! 🕺 Lyrics by Amitabh Bhattacharya add a cheeky twist to this high-energy track. Perfect for any celebration! 

👉 Subscribe to Saregama Music: https://bit.ly/3FkAS0W

Credits:
Music Composer : Sachin - Jigar
Singer : Pawan Singh, Simran Choudhary, Divya Kumar & Sachin-Jigar
Lyrics : Amitabh Bhattacharya
All Music Produced Arranged & Designed By : Sachin-Jigar
Additional Programming : Hrishikesh Gangan, Abhishek Singh, Sahil Vishwakarma, Amrit Sharma ( White Noise Collectives)
Music Production Head - Romil Ved
Live Electric & Acoustic Guitars : Indrajit Chetia, Sahil Vishwakarma 
Recording Engineer: Swar Mehta (White Noise Collectives) 
Mixed and Mastered by : Eric Pillai (FSOB Studio)
Assistant Mix Engineer : Michael Edwin Pillai
Choreographer : Jani Master 
DOP: Santhana Krishnan Ravichandran

Stree 2 in cinemas 15th August 2024

Jio Studios & Dinesh Vijan present Stree 2 

Starring: Shraddha Kapoor, Rajkummar Rao, Pankaj Tripathi, Abhishek Banerjee, and Aparshakti Khurana
Directed by: Amar Kaushik
Produced by: Dinesh Vijan
Produced by: Jyoti Deshpande
Written by: Niren Bhatt

Lyrics:
Jhoothi khaayi thi qasam jo
Nibhaayi नइ ..

(Jhoothi khayi thi qasam jo 
Nibhaayi नइ) ×2

Kaati raat maine kheton mein
Tu aayi नइ ..

(Kaati raat maine kheton mein
Tu aayi नइ) ×2 

MALE SOLO
(Le ke aaya bhi main ghar se rajaayi नइ) ×2

Nahin aayi aayi aayi
Tu toh aayi नइ

Nahin aayi aayi aayi
Tu toh aayi नइ

Kaati raat maine kheton mein
Tu aayi नइ

Nikal rahi thi main toh सज ke
सँवर ke
Toka meri amma ne
Aankhein badi kar ke

Boli mujhe kyon ri
Kahan chali कलमूई

Kheton mein कुँवारी chhori jaati nahin yunhi

Aise ladke jo kheton mein bulaate hain

हाँ
Aise ladke jo kheton mein bulaate hain

Beti bante kabhi bhi vo jamai नइ

(Kaati raat maine kheton mein
Tu aayi नइ) ×2

Jaane ye deevaana
Palkein bichhaana
Aata hai tujhe
Bas karna bahaana

Sunke duhaayi
Aayi re qayaamat
Phir bhi hua न
Kabhi tera aana

(ढली jaaye re jawani intezaar mein) ×2

Tere chakkar mein doosri pataayi नइ

CHORUS
(Kaati raat maine kheton mein
Tu aayi नइ) ×2

#shraddhakapoor 
#rajkummarrao 
#stree2 
#pawansingh 
#saregamamusic 
#aayinai
#sachinjigar 
#amitabhbhattacharya 
#divyakumar 
#simranchoudhary 

Learn to sing in Sur with AI Powered Personal Music Teacher- Padhanisa by Saregama. Download Padhanisa App now; https://sarega.ma/padhanisa

To Listen To The Songs From Bad Newz, click here:
https://www.youtube.com/playlist?list=PLXCoHsJ9oLefLO2qXLfLhVIiBomnu5Ags

To Listen To The Songs From Kalki , click here: https://www.youtube.com/playlist?list=PLXCoHsJ9oLecsCGTUkHwoBl5QvPZmrL65

To Listen To The Songs From Chamkila, click here:
https://www.youtube.com/playlist?list=PLXCoHsJ9oLedUUkYRQTTiyIw25l7VTuTz

To Listen To The Songs From Rocky Aur Rani ki Prem Kahani , click here: https://www.youtube.com/playlist?list=PLXCoHsJ9oLefBprn38xyDfvgL-73WncT9

To Listen To Saregama Originals, click here: https://www.youtube.com/playlist?list=PLXCoHsJ9oLeejQ4QL6fdOGBXFz2G_gDex

Aawaz Aapki, Gaane Hamare, Ab Sunegi Duniya Saari
Make your own cover on this song and we’ll launch it on our Openstage Youtube Channel.
Send it on content@saregama.com 

To buy Saregama Carvaan, visit  https://www.saregama.com/carvaan/carvaanhindi
To buy virus free original tracks, visit  https://www.saregama.com/musicstore

Label:: Saregama India Ltd, A RPSG Group Company

To buy the original and virus free track, visit www.saregama.com

Follow us on:

YouTube: http://www.youtube.com/saregamamusic

Facebook: http://www.facebook.com/Saregama

Instagram: https://www.instagram.com/saregama_official/

X: https://twitter.com/saregamaglobal",2024-08-01T16:16:53Z,UC_A7K2dXFsTMAciGmnNxy-Q,Saregama Music,10,"['aayi nai', 'ayi nai', 'aayi nahi', 'ayi nahi', 'aai nai', 'aayi nai stree 2', 'stree 2 song', 'stree 2 songs', 'khet song', 'shraddha kapoor songs', 'shraddha kapoor stree 2 songs', 'shradha kapoor new song', 'shradha kapoor songs', 'rajkumar rao songs', 'rajkumar rao new song', 'rajkumar rao stree 2', 'pawan singh new song', 'pawan singh new song 2024', 'pawan singh song', 'pawan singh ke gana', 'pawan singh aayi nai song', 'pawan singh aai nahi song', 'sachin jigar songs', 'sachin jigar new song']",PT3M19S,hd,false,13663344,365097,0,0,42114,Music
xSPX5Tq1y-A,3rd T20 | Hindi | Highlights | India Tour Of Sri Lanka | 30th July 2024,"Click here to subscribe to Sony LIV Channel: https://www.youtube.com/user/sonyliv
 
Click here to watch all highlights: https://bit.ly/3OVl9LM

Click here to watch more: https://www.sonyliv.com/sports/cricket-india-tour-of-sri-lanka-1700000759

Click here to subscribe now: https://bit.ly/3Q78rHU

India and Sri Lanka faced each other in the 3rd and final T20 at Pallekele International Cricket Stadium. India batted first and posted 137 runs for the loss of 9 wickets on a tough batting pitch. Sri Lanka started the chase well but lost their way when the Indian spinners came into play. Sri Lanka then kept losing wickets and the match ended in a draw. Finally, the game went into a super over and India sealed a thrilling victory to seal the series 3 - 0.

Click here to subscribe: https://www.sonyliv.com/subscription
Find Out: www.sonyliv.com or click on the below links to download the Sony LIV app:
Android Play Store: https://play.google.com/store/apps/details?id=com.sonyliv 
App Store: https://apps.apple.com/in/app/sonyliv-live-cricket-tv-movies/id587794258",2024-07-30T19:16:00Z,UCOQNJjhXwvAScuELTT_i7cQ,Sony LIV,24,"['India', 'Sri Lanka', 'india vs Sri Lanka', 'india vs Sri Lanka 2024', 'india vs Sri Lanka highlights 2024', 'India Tour Of Sri Lanka 2024', 'India Tour Of Sri Lanka 2024 highlights', 'India Tour Of Sri Lanka 2024 squad', 'India Tour Of Sri Lanka 2024 schedule', 'India Tour Of Sri Lanka 2024 fixtures', 'India Tour Of Sri Lanka 2024 live streaming', 'India Tour Of Sri Lanka', 'India Tour Of Zimbabwe 2024 players', 'Ind vs SL', 'cricket', 'sports', 'cricket highlights', 'sports highlights', 'T20', 'ODI', 'sony liv', 'highlights']",PT13M48S,hd,false,15454204,303439,0,0,5462,Entertainment
hHtJ5bBRJVc,"Ghum Hai Kisikey Pyaar Mein Promo: Savi Ko Lagi Chot, Bhagyashree Ne Ki Ashika Ko Chadi Se Pitai","Ghum Hai Kisikey Pyaar Mein Today Episode Promo: Ashika Ki Pitai Karne Ke Chakkar Main Bhagyashree Se Savi Ko Lagi Chot
Kindly Watch Ghum Hain Kisi Ke Pyar Mein Full Episode On Star Plus #GhumHainKisikeyPyaarMeiin #starplus #hotstar 

Star Plus Serial Ghum Hain Kisikey Pyaar Meiin/GHKKPM Cast: Bhavika Sharma as Savi, Hitesh Bharadwaj as Rajat Thakkar, Amayra Khurana as Saisha Thakkar, Manasi Salvi as Dr. Isha Bhosale, Indraneel Bhattacharya as Shantanu Bhosale, Pallavi Pradhan as Bhagyashree Thakkar

► http://bit.do/DESIFEEDVIDEO - Subscribe DESIFEED Video - Your Trusted & Favourite Entertainment News Channel!
► Follow #DESIFEEDVideo on Social Media With #DFV #DESIFEED 

DESIFEED Video Social Media Links
► https://www.facebook.com/DESIFEEDVIDEO
► https://twitter.com//DESIFEED_VIDEO
► https://www.instagram.com/DESIFEEDVIDEO

Watch Ghum Hain Kisikey Pyaar Mein Promo 2 August 2024 Full Episode On Star Plus And Before TV On Hotstar App.",2024-08-02T01:16:41Z,UCToZTtSLYLyRV5xwUcAa9Kg,DESIFEED Video,24,"['ghum hai kisike pyaar mein 2nd August 2024 episode', 'ghkkpm full episode today', 'ghum hai kisikey pyaar meiin', 'ghum hai kisikey pyaar meiin today full episode', 'ghum hai kisikey pyaar meiin full episode today', 'ghum hai kisikey pyaar meiin new promo', 'ghum hai kisikey pyaar meiin serial', 'ghum hai kisikey pyaar meiin episode', 'ghum hai kisikey pyaar meiin upcoming twist', 'ghkkpm new promo', 'ghkkpm today episode', 'ghkkpm upcoming twist', 'ghkkpm full episode today 2 August 2024', 'Promo', 'New', 'Today']",PT1M,hd,false,1368618,10177,0,0,68,Entertainment
w53yScHX_bo,"Gharwale Huye Emotional | Naezy | Kritika | Sana | Bigg Boss OTT 3 | JioCinema | Grand Finale, 9pm","Gharwalon ka bhar aaya dil aur tham gayi dhadkanein jab vo mile apnon se ❤️🥹

Dekhiye #BiggBossOTT3 ka Grand Finale, aaj raat 9 baje sirf #JioCinema par.

#BBOTT3onJioCinema #BBOTT3 #BiggBoss #JioCinemaPremium",2024-08-02T08:52:34Z,UC8To9CFsZzvPafxMLzS08iA,JioCinema,24,"['Bigg Boss', 'Big Boss OTT', 'Season 3', 'Anil Kapoor', 'bigg boss ott', 'BB OTT', 'bigg boss ott season 3', 'JioCinema', 'JioCinema Premium', 'Salman Khan', 'Chandrika Dixit', 'Ranvir Shorey', 'Shivani Kumari', 'Sana Makbul Khan', 'Vishal Pandey', 'Lovekesh Kataria', 'Deepak Chaurasia', 'Sai Ketan Rao', 'Munisha Khatwani', 'Sana Sultan', 'Armaan Malik', 'Payal Malik', 'Kritika Malik', 'Neeraj Goyat', 'Naezy', 'Paulomi Polo Das', 'New Show', 'Reality Show 2024', 'Entertainment', '24 hours live', 'OTT Series']",PT57S,hd,false,1296386,22111,0,0,1398,Entertainment
AOkYOVSUE9w,Sana Makbul is The Bigg Boss OTT3 WINNER,"Sana Makbul is The Bigg Boss OTT3 WINNER

Hungama Studio: Your Trusted Source of Exclusive Bollywood News, Bigg Boss Update, Bigg Boss Promo, Bollywood Update, Hindi TV Show & TV Serial News & Promo, Celebrities Interviews, Breaking News, Sports, Gossips, Preview, Coverage, Entertainment & Exclusive Segments With Your Favorite Celebrities! Subscribe to Stay Updated.

Subscribe HUNGAMA : https://www.youtube.com/@HungamaStudio

Conect With Us On Social Media:

https://instagram.com/HungamaStudio
https://www.facebook.com/HungamaStudios
https://twitter.com/HungamaStudios
https://www.linkedin.com/company/hungamastudio

Official Website For More Update: 
https://www.hungamastudio.com

Thanks For Watching 🙏

#BiggBossOTT3 #BiggBoss #Naezythebaa #Naezy #sanamakbul #Divasana #ranvirshorey #sanamakbul #lovelkataria #payalmalik #armaanmalik #kritikamalik #saiketanrao ##sanasultaan #neerajgoyat #chandrikadixit #vishalpandey #poulomipolodas #shivanikumari #HungamaStudio #BiggBoss #FilmyBold #Bollywood #Entertianment #BollywoodUpdate #BollywoodActress #BollywoodActor #BollywoodSongs #BiggBossUpdate #BiggBossPromo",2024-08-02T18:26:02Z,UCXCUniUaZwY_ZpzV7TGxzNg,HUNGAMA,24,"['Bigg Boss OTT3 Winner', 'Sana Makbul bigg boss winner', 'bigg boss ott 3 live', 'bigg boss ott 3 winner', 'bigg boss ott 3 grand finale', 'bigg boss ott 3 finale', 'bigg boss ott 3 ka winner kaun hai', 'HUNGAMA', 'Bigg Boss Promo', 'Spotted at mumbai airport', 'Filmy Bold', 'Bollywood Songs', 'Bollywood Update', 'Bollywood Actor', 'Bollywood Actress', 'Bollywood Celebrity', 'Hungama Studio', 'TV Promos']",PT1M19S,hd,false,759031,10439,0,0,983,Entertainment
PTIGiV52kzA,"Yeh Rishta Kya Kehlata Hai Promo: Ruhi Ne Fade Divorce Paper, Kiya Rohit Ke Sath Rahne Ka Faisla","Star Plus Serial Yeh Rishta Kya Kehlata Hai Today Update: Ruhi Ne Armaan Se Pucha Uski Marzi, Ruhi Ne Kiya Rohit Ke Sath Rahne Ka Faisla 
Kindly WatchStar Plus Yeh Rishta Kya Kehlata Hai Full Episode On Star Plus #YehRishtaKyaKehlataHai #starplus #hotstar 

Yeh Rishta Kya Kehlata Hai Cast: Rohit Purohit as Armaan, Samridhii Shukla as Abhira, Garvita Sadhwani as Ruhi, Romiit Raaj as Rohit, Anita Raj as Kaveri, 
► http://bit.do/DESIFEEDVIDEO - Subscribe DESIFEED Video - Your Trusted & Favourite Entertainment News Channel!
Follow #DESIFEEDVideo on Social Media With #DFV #DESIFEED 

Follow Us On:
• Instagram: https://www.instagram.com/DESIFEEDVIDEO
• Facebook: https://www.facebook.com/DESIFEEDVIDEO
• Twitter: https://twitter.com//DESIFEED_VIDEO

Watch Yeh Rishta Kya Kehlata Hai 3 August 2024 Full Episode On Star Plus And Before TV On Hotstar App.

Don’t forget to like, share, and subscribe for more thrilling episode updates! Hit the bell icon 🔔 to stay updated with our latest videos.",2024-08-03T01:23:52Z,UCToZTtSLYLyRV5xwUcAa9Kg,DESIFEED Video,24,"['Yeh Rishta Kya Kehlata Hai', 'Yeh Rishta Kya Kehlata Hai Promo', 'Yeh Rishta Kya Kehlata Hai Full Episode', 'Yeh Rishta Kya Kehlata Hai Aaj Ka Episode', 'Yeh Rishta Kya Kehlata Hai 3rd August 2024', 'Yeh Rishta Kya Kehlata Hai Serial', 'Yeh Rishta Kya Kehlata Hai Star Plus Promo', 'Yeh Rishta Kya Kehlata Hai Today Episode', 'On Location', 'BTS Video', 'Promo', 'Drama', 'Yeh Rishta Kya Kehlata Hai new promo', 'Yeh Rishta Kya Kehlata Hai new episode', 'Yeh Rishta Kya Kehlata Hai full episode today', 'YRKKH 3 Aug']",PT1M,hd,false,526284,5905,0,0,25,Entertainment
H7oUO-My1vg,"NAA SAAMI RANGA (2024) New Released Full Hindi Dubbed Action Movie । Nagarjuna, Allari Naresh","Check out Our Blockbuster Action Movie ""NAA SAAMI RANGA"". It is the Hindi dubbed version of the Telugu Blockbuster Movie ""NAA SAAMI RANGA"". The film stars Nagarjuna, Allari Naresh, Ashika Ranganath and Raj Tarun in the lead roles.  

#naasaamiranga #nagarjuna #allarinaresh #rkdstudios  

Movie (Hindi Dubbed):- Naa Saami Ranga  
Original Movie Name:- Naa Saami Ranga in Telugu  
StarCast:- Nagarjuna, Allari Naresh, Ashika Ranganath and Raj Tarun      
Music:- M. M. Keeravani 
Producer:- Srinivasa Chitturi     
Director:- Vijay Binni

Disclaimer:- We are only the right holders of this content. Any opinions expressed in this Film may purely be of the director or the original producers but are not our personal opinions and we do not assume any responsibility or liability for the same. 

Kindly subscribe to the channel and Press the BELL ICON to get Instant Notifications from RKD Studios. 

Subscribe To Our Channel:- https://www.youtube.com/channel/UCjBwQ6M9QyCgO5Pp-TQRFUA?sub_confirmation=1  

Follow Us On:-Facebook: https://www.facebook.com/RKDStudiosOfficial/ 

Instagram:-https://www.instagram.com/rkdstudios",2024-07-29T11:30:08Z,UCjBwQ6M9QyCgO5Pp-TQRFUA,RKD Studios,24,"['Naa Saami Ranga', 'Naa Saami Ranga full hindi dubbed action movie', 'Naa Saami Ranga hindi dubbed movie', 'Nagarjuna action movies', 'telugu hindi dubbed movies', 'action hindi dub movies', '2024 hindi movies', 'new', 'latest', 'raj tarun movies', 'ashika ranganath latest movie', 'साउथ मूवी', 'साउथ फिल्म २०२४', 'rkd studios', 'nagarjuna movies', 'Naa Saami Ranga movie hindi', 'allari naresh action movies', 'naa saami ranga best action scenes', 'nagarjuna best fight scenes', 'new south indian movies 2024']",PT2H4M20S,hd,true,22232396,382749,0,0,7356,Entertainment
eGfYMhdKR0Q,Vedaa - Official Trailer | John Abraham | Sharvari | Abhishek B | Nikkhil A | In Cinemas 15th Aug,"👉🏻 SUBSCRIBE to Zee Music Company - https://bit.ly/2yPcBkS 

Vedaa is a story of bravery, of the power of one. It is the story of an uprising, of challenging a draconian system. It is the story of a young woman who fought back, steered and championed by the one man she believed was her saviour, who became her weapon. It is the story of a man who found himself in helping Vedaa find justice.

#VedaaTrailer Out Now
#Vedaa Releasing in cinemas on 15th August in Hindi, Tamil & Telugu! 🇮🇳

Zee Studios, Emmay Entertainment & JA Entertainment Present
An Emmay Entertainment Production

Starring - John Abraham, Sharvari, Abhishek Bannerjee & Tamannaah Bhatia
Directed By - Nikkhil Advani
Written By - Aseem Arrora
Produced By - Zee Studios
Produced By - Umesh KR Bansal
Produced By - Monisha Advani, Madhu Bhojwani
Produced By - John Abraham
Co-Produced by - Minnaskshi Das

A Zee Studios Worldwide release


Music on Zee Music Company

Connect with us on :
Twitter - https://www.twitter.com/ZeeMusicCompany
Facebook - https://www.facebook.com/zeemusiccompany
Instagram - https://www.instagram.com/zeemusiccompany
YouTube - http://bit.ly/TYZMC",2024-08-01T11:30:20Z,UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,24,"['vedaa official trailer', 'veda trailer', 'vedaa movie trailer', 'veda teaser', 'vedaa official teaser', 'john abraham new movie', 'vedaa hindi movie trailer', 'vedaa film trailer', 'vedaa john abraham', 'new hindi movie trailer', 'bollywood cinema', 'movie trailer 2024', 'latest bollywood movie', 'upcoming bollywood movie', 'latest movie trailer 2024', 'super hit movie trailer 2024', 'vedaa hindi movie', 'new action movie', 'veda movie trailer', 'hindi cinema trailer', 'new bollywood movie', 'sharvari new movie']",PT3M11S,hd,true,3580066,141630,0,0,5045,Entertainment
